,0
minute,336
i_day_diffTime_last,234
item_city_id,199
shop_score_delivery,192
mapmin,191
item_sales_level,181
user_star_level,170
shop_score_service,168
item_collected_level,160
item_category_1,155
brand_mean_age,152
brand_mean_hour,150
shop_day_active_user,150
shop_score_description,145
i_day_diffTime_first,144
shop_mean_age,136
item_mean_age,134
context_page_id,131
shop_mean_hour,129
shop_review_positive_rate,117
item_mean_hour,115
brand_day_active_user,114
item_id_lasttime_diff,111
item_category_2,106
item_pv_level,95
item_price_level,82
item_id_nexttime_diff,82
shop_review_num_level,82
shop_star_level,69
shop_hour_active_user,65
item_maphour_cnt_ratio,62
user_age_level,62
item_day_active_user,56
hour,51
user_occupation_id,47
user_gender_id,43
user_id_nexttime_diff,26
item_hour_active_user,22
user_mean_hour,21
u_day_diffTime_last,8
click_user_city_lab,4
user_hour_active_brand,3
user_day_active_shop,0
user_day_active_brand,0
user_maphour_cnt_ratio,0
user_hour_cnt_ratio,0
user_id_lasttime_diff,0
s_day_diffTime_last,0
s_day_diffTime_first,0
b_day_diffTime_last,0
b_day_diffTime_first,0
item_category_0,0
maphour,0
user_active_hour,0
u_day_diffTime_first,0
user_day_active_city,0
click_user_shop_lab,0
click_user_brand_lab,0
click_user_item_lab,0
click_user_lab,0
same_time_expo_cnt,0
user_mean_age,0
